"lastmod","slug"
"2019-02-28","the-story-of-features-editor-at-nature-2017"
"2019-03-01","effective-scientist-a-must-have-book-for-scientists"
"2019-03-02","first-job-and-taking-days-off"
"2019-03-02","mykindofamentor"
"2019-03-02","conferences-and-pot-noodles"
"2019-03-02","taking-a-day-off-and-a-murder-mystery"
"2019-03-02","first-scholarship-off-to-namibia-2015"
"2019-03-03","interview-with-exec-producer-of-between-earth-and-sky-documentary-2017"
"2019-03-03","agricultural-extension-internship-in-nepal-2017"
"2019-07-23","what-does-top-student-mean-anyway"
"2020-05-18","plant-health-infographics"
"2020-06-10","five-years-worth-of-rambling"
"2020-08-19","get-ready-for-my-banana-poster"
